item,itemLabel,surname,first name,start_year,end_year,GND
http://www.wikidata.org/entity/Q5454,Isabella Albrizzi-Teotochi,Albrizzi-Teotochi,Isabella,1763,1836,118846493
http://www.wikidata.org/entity/Q15803,Simon Jenko,Jenko,Simon,1835,1869,131855549
http://www.wikidata.org/entity/Q15944,Walter Breisky,Breisky,Walter,1871,1944,130122955
http://www.wikidata.org/entity/Q16824,Carl Junker,Junker,Karl,1867,1928,117659827
http://www.wikidata.org/entity/Q43815,Josef Struber,Struber,Joseph,1773,1845,118619446
http://www.wikidata.org/entity/Q44032,Egon Schiele,Schiele,Egon,1890,1918,118607499
http://www.wikidata.org/entity/Q44274,Jörg Haider,Haider,Joerg,1950,2008,118854208
http://www.wikidata.org/entity/Q44911,Joseph Maria Olbrich,Olbrich,Josef-Maria,1867,1908,118589768
http://www.wikidata.org/entity/Q44927,Joseph Lanner,Lanner,Joseph,1801,1843,118569597
http://www.wikidata.org/entity/Q44972,Peter Altenberg,Englaender,Richard,1859,1919,118502255
http://www.wikidata.org/entity/Q45562,Gustav Pick,Pick,Gustav,1832,1921,129690678
http://www.wikidata.org/entity/Q45580,Franz Stelzhamer,Stelzhamer,Franz-Xav,1802,1874,118753444
http://www.wikidata.org/entity/Q58586,Edmund Husserl,Husserl,Edmund,1859,1938,118555006
http://www.wikidata.org/entity/Q60657,Albert Kasimir von Sachsen-Teschen,Albrecht,Kasimir,1738,1822,118647652
http://www.wikidata.org/entity/Q62046,Franz von Paula Schrank,Schrank,Franz-De-Paula,1747,1835,11861066X
http://www.wikidata.org/entity/Q62934,Irmfried Eberl,Eberl,Irmfried,1910,1948,131395890
http://www.wikidata.org/entity/Q64162,Ludwig von Pastor,Pastor-Camperfelden,Ludwig,1854,1928,116052953
http://www.wikidata.org/entity/Q64625,Nikolaus Graf von Üxküll-Gyllenband,Uexkuell-Gyllenband,Nikolaus,1877,1944,12864821X
http://www.wikidata.org/entity/Q70917,Carl Grünberg,Gruenberg,Karl,1861,1940,118542826
http://www.wikidata.org/entity/Q72116,Joseph Aschbach,Aschbach,Josef,1801,1882,119059312
http://www.wikidata.org/entity/Q72988,Jacob Rosanes,Rosanes,Jakob,1842,1922,116608676
http://www.wikidata.org/entity/Q74612,Árpád Tamásy von Fogaras,Tamasy-Fogaras,Arpad,1861,1939,1051971551
http://www.wikidata.org/entity/Q76483,Rainer Maria Rilke,Rilke,Rainer-Maria,1875,1926,118601024
http://www.wikidata.org/entity/Q76586,Karl Kautsky,Kautsky,Karl,1854,1938,118560808
http://www.wikidata.org/entity/Q77242,Theodor Billroth,Billroth,Theodor-Christian,1829,1894,118510916
http://www.wikidata.org/entity/Q78473,Ernst Kaltenbrunner,Kaltenbrunner,Ernst,1903,1946,119017202
http://www.wikidata.org/entity/Q78504,Ernst Gombrich,Gombrich,Ernst-Hans,1909,2001,118540637
http://www.wikidata.org/entity/Q78544,Hermann Kövess von Kövesshaza,Koevess-Koevesshaza,Hermann,1854,1924,129205427
http://www.wikidata.org/entity/Q78560,Ottokar Czernin,Czernin,Ottokar,1872,1932,118677659
http://www.wikidata.org/entity/Q78606,Robert Fuchs,Fuchs,Robert,1847,1927,119271559
http://www.wikidata.org/entity/Q78617,Richard Belcredi,Belcredi,Richard,1823,1902,118657992
http://www.wikidata.org/entity/Q78684,Josef Hyrtl,Hyrtl,Josef,1810,1894,118708481
http://www.wikidata.org/entity/Q78741,Max Wladimir von Beck,Beck,Max-Wladimir,1854,1943,118654373
http://www.wikidata.org/entity/Q78746,Anton Kerner von Marilaun,Kerner-Marilaun,Anton,1831,1898,119529025
http://www.wikidata.org/entity/Q78781,Viktor Dankl von Krasnik,Dankl-Krasnik,Viktor,1854,1941,120880687
http://www.wikidata.org/entity/Q78782,Cesare Battisti,Battisti,Cesare,1875,1916,118653539
http://www.wikidata.org/entity/Q78807,Theodor Baillet de Latour,Baillet-Latour,Theodor,1780,1848,116752769
http://www.wikidata.org/entity/Q78820,Marianne Brandt,Brandt,Marianne,1842,1921,116406364
http://www.wikidata.org/entity/Q78852,Manfred von Clary und Aldringen,Clary-Aldringen,Manfred,1852,1928,129157198
http://www.wikidata.org/entity/Q78865,Eduard von Bauernfeld,Bauernfeld,Eduard,1802,1890,118507400
http://www.wikidata.org/entity/Q78914,Alfred von Domaszewski,Domaszewski,Alfred,1856,1927,116175516
http://www.wikidata.org/entity/Q78990,Joseph Franz von Jacquin,Jacquin,Joseph-Franz,1766,1839,117050199
http://www.wikidata.org/entity/Q79001,Karl Ferdinand von Buol-Schauenstein,Buol-Schauenstein,Karl-Ferdinand,1797,1865,118665022
http://www.wikidata.org/entity/Q79002,Irene Abendroth,Abendroth,Irene,1872,1932,116002506
http://www.wikidata.org/entity/Q79034,Ernst von Hesse-Wartegg,Hesse-Wartegg,Ernst,1854,1918,116771003
http://www.wikidata.org/entity/Q84548,Siegmund Exner-Ewarten,Exner-Ewarten,Siegmund,1846,1926,116319542
http://www.wikidata.org/entity/Q84552,Hans Hahn,Hahn,Hans,1879,1934,119296896
http://www.wikidata.org/entity/Q84585,Carl Koller,Koller,Karl,1857,1944,136408192
http://www.wikidata.org/entity/Q84612,Wladimir Giesl von Gieslingen,Giesl-Gieslingen,Wladimir,1860,1936,101847173
http://www.wikidata.org/entity/Q84689,Rudolf Hoernes,Hoernes,Rudolf,1850,1912,116932724
http://www.wikidata.org/entity/Q84774,Gustav von Escherich,Escherich,Gustav,1849,1935,116569352
http://www.wikidata.org/entity/Q84832,Michael Haberlandt,Haberlandt,Michael,1860,1940,116350725
http://www.wikidata.org/entity/Q84876,Franz Chvostek senior,Chvostek,Franz,1835,1884,133623033
http://www.wikidata.org/entity/Q84932,Guido Holzknecht,Holzknecht,Guido,1872,1931,116973854
http://www.wikidata.org/entity/Q84994,Theodor von Frimmel,Frimmel-Traisenau,Theodor,1853,1928,101069456
http://www.wikidata.org/entity/Q84996,Karl Heider,Heider,Karl,1856,1935,116605197
http://www.wikidata.org/entity/Q85144,Albert Ehrhard,Ehrhard,Albert-Josef-Maria,1862,1940,118529315
http://www.wikidata.org/entity/Q85204,Artur Berger,Berger,Artur,1892,1981,1056822317
http://www.wikidata.org/entity/Q85219,Friedrich Moritz Brauer,Brauer,Friedrich-Moritz,1832,1904,13173282X
http://www.wikidata.org/entity/Q85237,Kasimir Graff,Graff,Kasimir-Romuald,1878,1950,11681568X
http://www.wikidata.org/entity/Q85526,Julius Wilhelm Gintl,Gintl,Wilhelm-Julius,1804,1883,116633670
http://www.wikidata.org/entity/Q85584,Richard Buchta,Buchta,Richard,1845,1894,116826959
http://www.wikidata.org/entity/Q85826,Ignaz Czapka,Czapka-Winstetten,Ignaz,1791,1881,13959597X
http://www.wikidata.org/entity/Q86296,Jakob Degen,Degen,Jakob,1756,1848,119463180
http://www.wikidata.org/entity/Q86345,Johann Florian Heller,Heller,Johann-Florian,1813,1871,116686529
http://www.wikidata.org/entity/Q86525,Helene von Druskowitz,Druskowitz,Helene,1856,1918,120560216
http://www.wikidata.org/entity/Q86937,Rudolf Kraus,Kraus,Rudolf,1868,1932,13272801X
http://www.wikidata.org/entity/Q86983,Johann Nepomuk Berger,Berger,Johann-Nepomuk,1816,1870,116131640
http://www.wikidata.org/entity/Q87026,Anton von Jaksch,Jaksch-Wartenhorst,Anton,1810,1887,117610909
http://www.wikidata.org/entity/Q87049,Theodor Kohn,Kohn,Theodor,1845,1915,119537109
http://www.wikidata.org/entity/Q87173,Heinrich Friedjung,Friedjung,Heinrich,1851,1920,119480700
http://www.wikidata.org/entity/Q87177,Friedrich Jäger von Jaxtthal,Jaeger-Jaxthal,Friedrich,1784,1871,118868268
http://www.wikidata.org/entity/Q87425,Friedrich Katzer,Katzer,Friedrich,1861,1925,116187085
http://www.wikidata.org/entity/Q87687,Hermann Ignaz Bidermann,Biedermann,Hermann-Ignaz,1831,1892,116162228
http://www.wikidata.org/entity/Q87737,Leopold Gegenbauer,Gegenbauer,Leopold,1849,1903,117530468
http://www.wikidata.org/entity/Q87887,Bernhard von Eskeles,Eskeles,Bernhard,1753,1839,116539216
http://www.wikidata.org/entity/Q87953,Bruno Granichstaedten,Granichstaedten,Bruno,1879,1944,133464490
http://www.wikidata.org/entity/Q88044,Oskar Jellinek,Jellinek,Oskar,1886,1949,118776118
http://www.wikidata.org/entity/Q88353,Karl Ludwig von Grünne,Gruenne,Karl,1808,1884,116892838
http://www.wikidata.org/entity/Q88737,Emanuel von Friedrichsthal,Friedrichsthal,Emanuel,1809,1842,117537942
http://www.wikidata.org/entity/Q88839,Berta Karlik,Karlik,Berta-Emilie,1904,1990,134087283
http://www.wikidata.org/entity/Q88925,Carl von Hock,Hock,Carl,1808,1869,100356877
http://www.wikidata.org/entity/Q89400,Spiridon Gopčević,Gopcevic,Spiridon,1855,1909,11677357X
http://www.wikidata.org/entity/Q89546,Joseph von Hammer-Purgstall,Hammer-Purgstall,Joseph,1774,1856,118545426
http://www.wikidata.org/entity/Q89648,Max von Gomperz,Gomperz,Max,1822,1913,140267344
http://www.wikidata.org/entity/Q89724,Ernst Gotthilf,Gotthilf-Miskolczy,Ernst,1865,,1011384191
http://www.wikidata.org/entity/Q89736,Hubert Gessner,Gessner,Hubert,1871,1943,120488566
http://www.wikidata.org/entity/Q90019,Otto von Fürth,Fuerth,Otto,1867,1938,117540277
http://www.wikidata.org/entity/Q90108,Sepp Innerkofler,Innerkofler,Sepp,1865,1915,117653411
http://www.wikidata.org/entity/Q90199,Wenzel Joseph von Colloredo,Colloredo-Mels-Wallsee,Wenzel-Joseph,1738,1822,131469517
http://www.wikidata.org/entity/Q90215,Joseph Feßler,Fessler,Josef,1813,1872,119104520
http://www.wikidata.org/entity/Q92301,Eduard Duller,Duller,Eduard,1809,1853,118968572
http://www.wikidata.org/entity/Q94065,Karl Diener,Diener,Carl,1862,1928,116103256
http://www.wikidata.org/entity/Q94071,Richard Batka,Batka,Richard,1868,1922,116081384
http://www.wikidata.org/entity/Q94092,Hans Benndorf,Benndorf,Hans,1870,1953,116121130
http://www.wikidata.org/entity/Q94302,Emanuel Herrmann,Herrmann,Emanuel,1839,1902,11674698X
http://www.wikidata.org/entity/Q94672,Julius Anton Glaser,Glaser,Julius,1831,1885,119360667
http://www.wikidata.org/entity/Q95203,Jan Pětr Jordan,Jordan,Jan-Petr,1818,1891,117655988
http://www.wikidata.org/entity/Q96341,Friedrich Beckmann,Beckmann,Friedrich,1803,1866,116106409
http://www.wikidata.org/entity/Q97522,Max Devrient,Devrient,Max,1857,1929,116089067
http://www.wikidata.org/entity/Q546526,János Hunfalvy,Hunfalvy,Johann,1820,1888,117069094
http://www.wikidata.org/entity/Q550825,Hans Rott,Rott,Hans,1858,1884,121196488
http://www.wikidata.org/entity/Q563172,Anna Schimon-Regan,Schimon-Regan,Anna,1841,1902,116406437
http://www.wikidata.org/entity/Q569369,József Rippl-Rónai,Rippl-Ronai,Jozsef,1861,1927,118601210
http://www.wikidata.org/entity/Q569557,Anselm Hüttenbrenner,Huettenbrenner,Anselm,1794,1868,118554492
http://www.wikidata.org/entity/Q570279,Luigi Ricci,Ricci,Luigi,1805,1859,132700107
http://www.wikidata.org/entity/Q570773,Antal Ligeti,Ligeti,Antal,1823,1890,1019387351
http://www.wikidata.org/entity/Q570773,Antal Ligeti,Ligeti,Antal,1823,1890,1036916774
http://www.wikidata.org/entity/Q572063,Flóris Korb,Korb,Floris-Nandor,1860,1930,1013196953
http://www.wikidata.org/entity/Q578400,Margit Wein,Abranyi-Laszlofalva-Mikefoeld,Margit,1861,1948,1150894806
http://www.wikidata.org/entity/Q580264,Djordje Joannović,Joanovic,Djordje,1871,1932,1012895327
http://www.wikidata.org/entity/Q580552,Hermann Winkelmann,Winkelmann,Hermann,1847,1912,117414840
http://www.wikidata.org/entity/Q588144,Anton Battig,Battig,Antonio,1832,1896,1137226498
http://www.wikidata.org/entity/Q588370,Anton Boller,Boller,Anton,1811,1869,135553911
http://www.wikidata.org/entity/Q588744,Anton Cyril Stojan,Stojan,Antonin-Cyril,1851,1923,119369710
http://www.wikidata.org/entity/Q588765,Anton David Steiger,Steiger-Amstein,Anton-David,1755,1832,1036144542
http://www.wikidata.org/entity/Q588986,Anton Dreher junior,Dreher,Anton,1849,1921,13569826X
http://www.wikidata.org/entity/Q590955,Anton Karl Grünwald,Gruenwald,Anton-Karl,1838,1920,140233628
http://www.wikidata.org/entity/Q591870,Anton Mauss,Mauss,Anton,1868,1917,102048070X
http://www.wikidata.org/entity/Q592259,Anton Ohorn,Ohorn,Anton,1846,1924,117112518
http://www.wikidata.org/entity/Q592907,Anton Pohl,Pohl,Anton,1870,1939,1026273935
http://www.wikidata.org/entity/Q593945,Anton Schott,Schott,Anton,1866,1945,131864823
http://www.wikidata.org/entity/Q595015,Anton Uran,Uran,Anton,1920,1943,1070536717
http://www.wikidata.org/entity/Q596404,Anton von Ruthner,Ruthner,Anton,1817,1897,117599352
http://www.wikidata.org/entity/Q597740,Paul Grohmann,Grohmann,Paul,1838,1908,117563757
http://www.wikidata.org/entity/Q597865,Nikolaus II. Esterházy de Galantha,Esterhazy,Nikolaus-II,1765,1833,130146870
http://www.wikidata.org/entity/Q599916,Antonín Marek,Marek,Antonin,1785,1877,129472433
http://www.wikidata.org/entity/Q600579,Antal Szkalnitzky,Szkalnitzky,Antal,1836,1878,119357445
http://www.wikidata.org/entity/Q606053,Antonio de Pian,Pian,Antonio,1784,1851,139436332
http://www.wikidata.org/entity/Q608342,Antonín František Bečvařovský,Becvarovsky,Anton-Felix,1754,1823,102499020
http://www.wikidata.org/entity/Q608774,Antonín Sova,Sova,Antonin,1864,1928,119053519
http://www.wikidata.org/entity/Q609963,Wilhelm August Rieder,Rieder,Wilhelm-August,1796,1880,117532525
http://www.wikidata.org/entity/Q613125,Tivadar Kosztka Csontváry,Kosztka,Tivadar,1853,1919,118872273
http://www.wikidata.org/entity/Q622305,Alexandru Vaida-Voievod,Vaida-Voevod,Alexandru,1872,1950,118803662
http://www.wikidata.org/entity/Q624998,August Karl Joseph Corda,Corda,August-Karl-Josef,1805,1849,11667153X
http://www.wikidata.org/entity/Q634047,Miklós Jósika,Josika-Branyicska,Miklos,1794,1865,123011027
http://www.wikidata.org/entity/Q637649,Heinrich von Hess,Hess,Heinrich,1788,1870,118550330
http://www.wikidata.org/entity/Q638747,Sándor Szurmay,Szurmay-Uzsok,Sandor,1860,1945,1050522966
http://www.wikidata.org/entity/Q640342,Leopold Carl Müller,Mueller,Leopold-Karl,1834,1892,119337975
http://www.wikidata.org/entity/Q646146,Walter Serner,Serner,Walter,1889,1942,118764764
http://www.wikidata.org/entity/Q647871,Siegmund von Hausegger,Hausegger,Siegmund,1872,1948,116537620
http://www.wikidata.org/entity/Q658927,Alois Wehrle,Wehrle,Alois,1791,1835,100695183
http://www.wikidata.org/entity/Q661633,Gábor Vajna,Vajna,Gabor,1891,1946,1148799354
http://www.wikidata.org/entity/Q662634,Viktor Tausk,Tausk,Viktor,1879,1919,119045036
http://www.wikidata.org/entity/Q666501,Maximilian Njegovan,Njegovan,Maximilian,1858,1930,1024524175
http://www.wikidata.org/entity/Q668522,Joseph Russegger,Russegger,Josef,1802,1863,116710713
http://www.wikidata.org/entity/Q671839,Carl Rahl,Rahl,Karl,1812,1865,116324554
http://www.wikidata.org/entity/Q673686,Ludwig von Holzgethan,Holzgethan,Ludwig,1810,1876,137629559
http://www.wikidata.org/entity/Q676025,Giulio Carcano,Carcano,Giulio,1812,1884,119217791
http://www.wikidata.org/entity/Q677637,Armand Kaminka,Kaminka,Aharon,1866,1950,124505392
http://www.wikidata.org/entity/Q683579,Guglielmo Oberdan,Oberdank,Wilhelm,1858,1882,124731651
http://www.wikidata.org/entity/Q685361,Thomas Ender,Ender,Thomas,1793,1875,118530267
http://www.wikidata.org/entity/Q687135,Bertalan Szemere,Szemere,Bertalan,1812,1869,119026201
http://www.wikidata.org/entity/Q688255,Armin Seydelmann,Seydelmann,Armin,1872,1946,117475556
http://www.wikidata.org/entity/Q688412,Ferdinand Schubert,Schubert,Ferdinand-Lukas,1794,1859,118823035
