item,itemLabel,oeblxml,GND
http://www.wikidata.org/entity/Q5454,Isabella Albrizzi-Teotochi,A/Albrizzi-Teotochi_Isabella_1763_1836,118846493
http://www.wikidata.org/entity/Q15803,Simon Jenko,J/Jenko_Simon_1835_1869,131855549
http://www.wikidata.org/entity/Q15944,Walter Breisky,B/Breisky_Walter_1871_1944,130122955
http://www.wikidata.org/entity/Q16824,Carl Junker,J/Junker_Karl_1867_1928,117659827
http://www.wikidata.org/entity/Q43815,Josef Struber,S/Struber_Joseph_1773_1845,118619446
http://www.wikidata.org/entity/Q44032,Egon Schiele,S/Schiele_Egon_1890_1918,118607499
http://www.wikidata.org/entity/Q44274,Jörg Haider,H/Haider_Joerg_1950_2008,118854208
http://www.wikidata.org/entity/Q44911,Joseph Maria Olbrich,O/Olbrich_Josef-Maria_1867_1908,118589768
http://www.wikidata.org/entity/Q44927,Joseph Lanner,L/Lanner_Joseph_1801_1843,118569597
http://www.wikidata.org/entity/Q44972,Peter Altenberg,E/Englaender_Richard_1859_1919,118502255
http://www.wikidata.org/entity/Q45562,Gustav Pick,P/Pick_Gustav_1832_1921,129690678
http://www.wikidata.org/entity/Q45580,Franz Stelzhamer,S/Stelzhamer_Franz-Xav_1802_1874,118753444
http://www.wikidata.org/entity/Q58586,Edmund Husserl,H/Husserl_Edmund_1859_1938,118555006
http://www.wikidata.org/entity/Q60657,Albert Kasimir von Sachsen-Teschen,A/Albrecht_Kasimir_1738_1822,118647652
http://www.wikidata.org/entity/Q62046,Franz von Paula Schrank,S/Schrank_Franz-De-Paula_1747_1835,11861066X
http://www.wikidata.org/entity/Q62934,Irmfried Eberl,E/Eberl_Irmfried_1910_1948,131395890
http://www.wikidata.org/entity/Q64162,Ludwig von Pastor,P/Pastor-Camperfelden_Ludwig_1854_1928,116052953
http://www.wikidata.org/entity/Q64625,Nikolaus Graf von Üxküll-Gyllenband,U/Uexkuell-Gyllenband_Nikolaus_1877_1944,12864821X
http://www.wikidata.org/entity/Q70917,Carl Grünberg,G/Gruenberg_Karl_1861_1940,118542826
http://www.wikidata.org/entity/Q72116,Joseph Aschbach,A/Aschbach_Josef_1801_1882,119059312
http://www.wikidata.org/entity/Q72988,Jacob Rosanes,R/Rosanes_Jakob_1842_1922,116608676
http://www.wikidata.org/entity/Q74612,Árpád Tamásy von Fogaras,T/Tamasy-Fogaras_Arpad_1861_1939,1051971551
http://www.wikidata.org/entity/Q76483,Rainer Maria Rilke,R/Rilke_Rainer-Maria_1875_1926,118601024
http://www.wikidata.org/entity/Q76586,Karl Kautsky,K/Kautsky_Karl_1854_1938,118560808
http://www.wikidata.org/entity/Q77242,Theodor Billroth,B/Billroth_Theodor-Christian_1829_1894,118510916
