person_id,creator,contributor,date,cdate,medium,extent,currentLocation,dcidentifier,providerproxy,providedcho,ml,mf,aggregation,dp,rights,title,coverage,creation,description,relation,subjectI,subjectII,subjectII,type,language,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 16,1 cm x 12 cm",,24008/10,http://data.europeana.eu/proxy/provider/15508/24008_10,http://data.europeana.eu/item/15508/24008_10,,,http://data.europeana.eu/aggregation/provider/15508/24008_10,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/10,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 16,1 cm x 12 cm",,24008/11r,http://data.europeana.eu/proxy/provider/15508/24008_11r,http://data.europeana.eu/item/15508/24008_11r,,,http://data.europeana.eu/aggregation/provider/15508/24008_11r,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/11r,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 16,1 cm x 24 cm",,24008/11v-12r,http://data.europeana.eu/proxy/provider/15508/24008_11v_12r,http://data.europeana.eu/item/15508/24008_11v_12r,,,http://data.europeana.eu/aggregation/provider/15508/24008_11v_12r,Albertina,http://www.europeana.eu/rights/rr-f/,Verschiedene Skizzen,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/11v-12r,,,,Zeichnung,,
12347,Tina Blau,,,6. Oktober 1871,Bleistift, Deckweiß,"Blatt: 16,1 cm x 24 cm",,24008/12v-13r,http://data.europeana.eu/proxy/provider/15508/24008_12v_13r,http://data.europeana.eu/item/15508/24008_12v_13r,,,http://data.europeana.eu/aggregation/provider/15508/24008_12v_13r,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, Pang, am 6. Oktober 1871",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/12v-13r,,,,Zeichnung,
12347,Tina Blau,,,6. Oktober 1871,Bleistift, Deckweiß, gelbe Kreide,"Blatt: 24 cm x 16,1 cm",,24008/13v-14r,http://data.europeana.eu/proxy/provider/15508/24008_13v_14r,http://data.europeana.eu/item/15508/24008_13v_14r,,,http://data.europeana.eu/aggregation/provider/15508/24008_13v_14r,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, Pang, am 6. Oktober 1871",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/13v-14r,,,,Zeichnung
12347,Tina Blau,,,1871,Bleistift, Deckweiß,"Blatt: 16,1 cm x 24 cm",,24008/14v-15r,http://data.europeana.eu/proxy/provider/15508/24008_14v_15r,http://data.europeana.eu/item/15508/24008_14v_15r,,,http://data.europeana.eu/aggregation/provider/15508/24008_14v_15r,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, Pang",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/14v-15r,,,,Zeichnung,
12347,Tina Blau,,,1871,Bleistift, Deckweiß,"Blatt: 16,1 cm x 24 cm",,24008/15v-16r,http://data.europeana.eu/proxy/provider/15508/24008_15v_16r,http://data.europeana.eu/item/15508/24008_15v_16r,,,http://data.europeana.eu/aggregation/provider/15508/24008_15v_16r,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, Pang",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/15v-16r,,,,Zeichnung,
12347,Tina Blau,,,8. Oktober 1871,Bleistift, Deckweiß, gelbe Kreide,"Blatt: 12 cm x 16,1 cm",,24008/16,http://data.europeana.eu/proxy/provider/15508/24008_16,http://data.europeana.eu/item/15508/24008_16,,,http://data.europeana.eu/aggregation/provider/15508/24008_16,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, Bräuerberg, am 8. Oktober 1871",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/16,,,,Zeichnung
12347,Tina Blau,,,1871,Bleistift,"Blatt: 16,1 cm x 24 cm",,24008/17v-18r,http://data.europeana.eu/proxy/provider/15508/24008_17v_18r,http://data.europeana.eu/item/15508/24008_17v_18r,,,http://data.europeana.eu/aggregation/provider/15508/24008_17v_18r,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, am Inn",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/17v-18r,,,,Zeichnung,,
12347,Tina Blau,,,1871,Bleistift,"Blatt: 16,1 cm x 24 cm",,24008/18v-19r,http://data.europeana.eu/proxy/provider/15508/24008_18v_19r,http://data.europeana.eu/item/15508/24008_18v_19r,,,http://data.europeana.eu/aggregation/provider/15508/24008_18v_19r,Albertina,http://www.europeana.eu/rights/rr-f/,"Verschiedene Skizzen, Neubeuern, 1871",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=24008/18v-19r,,,,Zeichnung,,
