i,item,itemLabel,oeblid,apis_id
0,http://www.wikidata.org/entity/Q5454,Isabella Albrizzi-Teotochi,A/Albrizzi-Teotochi_Isabella_1763_1836,
1,http://www.wikidata.org/entity/Q15944,Walter Breisky,B/Breisky_Walter_1871_1944,88034.0
2,http://www.wikidata.org/entity/Q15803,Simon Jenko,J/Jenko_Simon_1835_1869,74483.0
3,http://www.wikidata.org/entity/Q16824,Carl Junker,J/Junker_Karl_1867_1928,
4,http://www.wikidata.org/entity/Q44032,Egon Schiele,S/Schiele_Egon_1890_1918,41572.0
5,http://www.wikidata.org/entity/Q43815,Josef Struber,S/Struber_Joseph_1773_1845,29699.0
6,http://www.wikidata.org/entity/Q60657,Albert Kasimir von Sachsen-Teschen,A/Albrecht_Kasimir_1738_1822,90323.0
7,http://www.wikidata.org/entity/Q44972,Peter Altenberg,E/Englaender_Richard_1859_1919,84679.0
8,http://www.wikidata.org/entity/Q44274,Jörg Haider,H/Haider_Joerg_1950_2008,
9,http://www.wikidata.org/entity/Q58586,Edmund Husserl,H/Husserl_Edmund_1859_1938,75584.0
10,http://www.wikidata.org/entity/Q44927,Joseph Lanner,L/Lanner_Joseph_1801_1843,65257.0
11,http://www.wikidata.org/entity/Q44911,Joseph Maria Olbrich,O/Olbrich_Josef-Maria_1867_1908,53354.0
12,http://www.wikidata.org/entity/Q45562,Gustav Pick,P/Pick_Gustav_1832_1921,50440.0
13,http://www.wikidata.org/entity/Q45580,Franz Stelzhamer,S/Stelzhamer_Franz-Xav_1802_1874,31553.0
14,http://www.wikidata.org/entity/Q72116,Joseph Aschbach,A/Aschbach_Josef_1801_1882,90150.0
15,http://www.wikidata.org/entity/Q77242,Theodor Billroth,B/Billroth_Theodor-Christian_1829_1894,88778.0
16,http://www.wikidata.org/entity/Q62934,Irmfried Eberl,E/Eberl_Irmfried_1910_1948,
17,http://www.wikidata.org/entity/Q70917,Carl Grünberg,G/Gruenberg_Karl_1861_1940,80236.0
18,http://www.wikidata.org/entity/Q76586,Karl Kautsky,K/Kautsky_Karl_1854_1938,72706.0
19,http://www.wikidata.org/entity/Q64162,Ludwig von Pastor,P/Pastor-Camperfelden_Ludwig_1854_1928,52244.0
20,http://www.wikidata.org/entity/Q76483,Rainer Maria Rilke,R/Rilke_Rainer-Maria_1875_1926,44792.0
21,http://www.wikidata.org/entity/Q72988,Jacob Rosanes,R/Rosanes_Jakob_1842_1922,44747.0
22,http://www.wikidata.org/entity/Q62046,Franz von Paula Schrank,S/Schrank_Franz-De-Paula_1747_1835,38433.0
23,http://www.wikidata.org/entity/Q74612,Árpád Tamásy von Fogaras,T/Tamasy-Fogaras_Arpad_1861_1939,28322.0
24,http://www.wikidata.org/entity/Q64625,Nikolaus Graf von Üxküll-Gyllenband,U/Uexkuell-Gyllenband_Nikolaus_1877_1944,
25,http://www.wikidata.org/entity/Q79002,Irene Abendroth,A/Abendroth_Irene_1872_1932,92332.0
26,http://www.wikidata.org/entity/Q78807,Theodor Baillet de Latour,B/Baillet-Latour_Theodor_1780_1848,89773.0
27,http://www.wikidata.org/entity/Q94071,Richard Batka,B/Batka_Richard_1868_1922,89321.0
28,http://www.wikidata.org/entity/Q78782,Cesare Battisti,B/Battisti_Cesare_1875_1916,89336.0
29,http://www.wikidata.org/entity/Q78865,Eduard von Bauernfeld,B/Bauernfeld_Eduard_1802_1890,89356.0
30,http://www.wikidata.org/entity/Q78741,Max Wladimir von Beck,B/Beck_Max-Wladimir_1854_1943,88862.0
31,http://www.wikidata.org/entity/Q96341,Friedrich Beckmann,B/Beckmann_Friedrich_1803_1866,89549.0
32,http://www.wikidata.org/entity/Q78617,Richard Belcredi,B/Belcredi_Richard_1823_1902,88968.0
33,http://www.wikidata.org/entity/Q94092,Hans Benndorf,B/Benndorf_Hans_1870_1953,89071.0
34,http://www.wikidata.org/entity/Q85204,Artur Berger,B/Berger_Artur_1892_1981,89115.0
35,http://www.wikidata.org/entity/Q86983,Johann Nepomuk Berger,B/Berger_Johann-Nepomuk_1816_1870,89124.0
36,http://www.wikidata.org/entity/Q87687,Hermann Ignaz Bidermann,B/Biedermann_Hermann-Ignaz_1831_1892,88708.0
37,http://www.wikidata.org/entity/Q78820,Marianne Brandt,B/Brandt_Marianne_1842_1921,87950.0
38,http://www.wikidata.org/entity/Q85219,Friedrich Moritz Brauer,B/Brauer_Friedrich-Moritz_1832_1904,87959.0
39,http://www.wikidata.org/entity/Q85584,Richard Buchta,B/Buchta_Richard_1845_1894,87584.0
40,http://www.wikidata.org/entity/Q79001,Karl Ferdinand von Buol-Schauenstein,B/Buol-Schauenstein_Karl-Ferdinand_1797_1865,87679.0
41,http://www.wikidata.org/entity/Q84876,Franz Chvostek senior,C/Chvostek_Franz_1835_1884,86820.0
42,http://www.wikidata.org/entity/Q78852,Manfred von Clary und Aldringen,C/Clary-Aldringen_Manfred_1852_1928,86838.0
43,http://www.wikidata.org/entity/Q90199,Wenzel Joseph von Colloredo,C/Colloredo-Mels-Wallsee_Wenzel-Joseph_1738_1822,86902.0
44,http://www.wikidata.org/entity/Q85826,Ignaz Czapka,C/Czapka-Winstetten_Ignaz_1791_1881,86420.0
45,http://www.wikidata.org/entity/Q78560,Ottokar Czernin,C/Czernin_Ottokar_1872_1932,86447.0
46,http://www.wikidata.org/entity/Q78781,Viktor Dankl von Krasnik,D/Dankl-Krasnik_Viktor_1854_1941,86609.0
47,http://www.wikidata.org/entity/Q86296,Jakob Degen,D/Degen_Jakob_1756_1848,
48,http://www.wikidata.org/entity/Q97522,Max Devrient,D/Devrient_Max_1857_1929,86228.0
49,http://www.wikidata.org/entity/Q94065,Karl Diener,D/Diener_Carl_1862_1928,86268.0
50,http://www.wikidata.org/entity/Q78914,Alfred von Domaszewski,D/Domaszewski_Alfred_1856_1927,85779.0
51,http://www.wikidata.org/entity/Q86525,Helene von Druskowitz,D/Druskowitz_Helene_1856_1918,85979.0
52,http://www.wikidata.org/entity/Q92301,Eduard Duller,D/Duller_Eduard_1809_1853,86026.0
53,http://www.wikidata.org/entity/Q85144,Albert Ehrhard,E/Ehrhard_Albert-Josef-Maria_1862_1940,84980.0
54,http://www.wikidata.org/entity/Q84774,Gustav von Escherich,E/Escherich_Gustav_1849_1935,84936.0
55,http://www.wikidata.org/entity/Q87887,Bernhard von Eskeles,E/Eskeles_Bernhard_1753_1839,
56,http://www.wikidata.org/entity/Q84548,Siegmund Exner-Ewarten,E/Exner-Ewarten_Siegmund_1846_1926,
57,http://www.wikidata.org/entity/Q90215,Joseph Feßler,F/Fessler_Josef_1813_1872,84125.0
58,http://www.wikidata.org/entity/Q87173,Heinrich Friedjung,F/Friedjung_Heinrich_1851_1920,82845.0
