oeblxmlname,awLabel,aw_url,instance_of,location,inception,creator,mainsubject,mainsubjectLabel,depicts,depictsLabel,madefrom,height,width
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q160091,plain,http://www.wikidata.org/entity/Q11472,14.4,20.9
R/Rippl-Ronai_Jozsef_1861_1927,In the garden of the Somssich,,,http://www.wikidata.org/entity/Q23402,1913-01-01T00:00:00Z,http://www.wikidata.org/entity/Q569369,,,,,http://www.wikidata.org/entity/Q18668582,49.2,68.3
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q8678,Rio de Janeiro,http://www.wikidata.org/entity/Q11472,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q527,sky,http://www.wikidata.org/entity/Q22915256,14.4,20.9
S/Serner_Walter_1889_1942,Last Loosening,,,,1918-01-01T00:00:00Z,,,,,,,,
S/Szkalnitzky_Antal_1836_1878,Main post office of Pest,,,,1870-01-01T00:00:00Z,,,,,,,,
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q8502,mountain,http://www.wikidata.org/entity/Q22915256,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q80151,hat,http://www.wikidata.org/entity/Q11472,14.4,20.9
R/Rippl-Ronai_Jozsef_1861_1927,Aristide Maillol,,,http://www.wikidata.org/entity/Q23402,1899-01-01T00:00:00Z,http://www.wikidata.org/entity/Q569369,,,http://www.wikidata.org/entity/Q860861,sculpture,http://www.wikidata.org/entity/Q296955,100,76
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q5,human,http://www.wikidata.org/entity/Q22915256,14.4,20.9
S/Styka_Jan_1858_1925,Racławice Panorama,,,http://www.wikidata.org/entity/Q9378128,1980-11-12T00:00:00Z,http://www.wikidata.org/entity/Q708238,,,,,,1500,
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q3947,house,http://www.wikidata.org/entity/Q11472,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q21152267,dirt,http://www.wikidata.org/entity/Q11472,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q16970,church building,http://www.wikidata.org/entity/Q11472,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q131154,hoe,http://www.wikidata.org/entity/Q22915256,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q11460,clothing,http://www.wikidata.org/entity/Q22915256,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q486972,human settlement,http://www.wikidata.org/entity/Q11472,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q107679,cliff,http://www.wikidata.org/entity/Q11472,14.4,20.9
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q187997,vegetation,http://www.wikidata.org/entity/Q11472,14.4,20.9
R/Rippl-Ronai_Jozsef_1861_1927,Aristide Maillol,,,http://www.wikidata.org/entity/Q23402,1899-01-01T00:00:00Z,http://www.wikidata.org/entity/Q569369,,,http://www.wikidata.org/entity/Q80151,hat,http://www.wikidata.org/entity/Q12321255,100,76
R/Rippl-Ronai_Jozsef_1861_1927,Aristide Maillol,,,http://www.wikidata.org/entity/Q23402,1899-01-01T00:00:00Z,http://www.wikidata.org/entity/Q569369,,,http://www.wikidata.org/entity/Q3947,house,http://www.wikidata.org/entity/Q12321255,100,76
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q527,sky,http://www.wikidata.org/entity/Q11472,14.4,20.9
R/Rippl-Ronai_Jozsef_1861_1927,Aristide Maillol,,,http://www.wikidata.org/entity/Q23402,1899-01-01T00:00:00Z,http://www.wikidata.org/entity/Q569369,,,http://www.wikidata.org/entity/Q42804,beard,http://www.wikidata.org/entity/Q12321255,100,76
E/Ender_Thomas_1793_1875,"Rio de Janeiro: View of the Neighbourhood of Engenho Velho, Drawn from the Austrian Embassy",,,,1817-01-01T00:00:00Z,http://www.wikidata.org/entity/Q685361,,,http://www.wikidata.org/entity/Q8502,mountain,http://www.wikidata.org/entity/Q11472,14.4,20.9
