,creator,contributor,date,cdate,mediumI,mediumII,mediumIII,mediumIV,mediumV,mediumVI,mediumVII,,extent,currentLocation,dcidentifier,providerproxy,providedcho,ml,mf,aggregation,dp,rights,title,coverage,creation,description,relation,subjectI,subjectII,subjectIII,typeI,typeII,typeIII,language,
12345,Marie Egner,,,,Aquarell,,,,,,,,"lt. Cahier: 24,1 x 35,9 cm",,29592,http://data.europeana.eu/proxy/provider/15508/29592,http://data.europeana.eu/item/15508/29592,,,http://data.europeana.eu/aggregation/provider/15508/29592,Albertina,http://www.europeana.eu/rights/rr-f/,Hafenbild: Rochester in England,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=29592,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1917,"Bleistift
Graphite",,,,,,,,"Blatt: 49,8 x 32,2 cm",,22396,http://data.europeana.eu/proxy/provider/15508/22396,http://data.europeana.eu/item/15508/22396,,,http://data.europeana.eu/aggregation/provider/15508/22396,Albertina,http://www.europeana.eu/rights/rr-f/,"Stehende, in Tücher gehüllt (Studie für das Bildnis Ria Munk III)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=22396,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1901,"Schwarze Kreide
Black chalk",,,,,,,,"Blatt: 30 x 45,9 cm",,22492,http://data.europeana.eu/proxy/provider/15508/22492,http://data.europeana.eu/item/15508/22492,,,http://data.europeana.eu/aggregation/provider/15508/22492,Albertina,http://www.europeana.eu/rights/rr-f/,Im Lehnstuhl Sitzende (Studie für das Bildnis Marie Henneberg),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=22492,,,,Zeichnung,,,,
12346,Gustav Klimt,,,um 1903,Schwarze Kreide,,,,,,,,"Passepartoutausschnitt: 44,5 x 30,2 cm",,22493,http://data.europeana.eu/proxy/provider/15508/22493,http://data.europeana.eu/item/15508/22493,,,http://data.europeana.eu/aggregation/provider/15508/22493,Albertina,http://www.europeana.eu/rights/rr-f/,Stehende Dame in Straßentoilette nach links,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=22493,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1901-02,Schwarze Kreide,,,,,,,,"45,1 x 31,3 cm",,22494,http://data.europeana.eu/proxy/provider/15508/22494,http://data.europeana.eu/item/15508/22494,,,http://data.europeana.eu/aggregation/provider/15508/22494,Albertina,http://www.europeana.eu/rights/rr-f/,"Studie für die linke der Gorgonen im ""Beethovenfries""",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=22494,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1912-13,"Feder, Tusche",,,,,,,,"Passepartoutausschnitt: 55,6 x 31,2 cm",,22495,http://data.europeana.eu/proxy/provider/15508/22495,http://data.europeana.eu/item/15508/22495,,,http://data.europeana.eu/aggregation/provider/15508/22495,Albertina,http://www.europeana.eu/rights/rr-f/,"Studie für das Bildnis Eugenia Primavesi (sitzend von vorne, den Oberkörper zur Seite gedreht)",,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=22495,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1906-08,Blauer Farbstift,,,,,,,,53 x 37 cm,,22496,http://data.europeana.eu/proxy/provider/15508/22496,http://data.europeana.eu/item/15508/22496,,,http://data.europeana.eu/aggregation/provider/15508/22496,Albertina,http://www.europeana.eu/rights/rr-f/,Mutter und Kind,,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=22496,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 56,8 x 37,3 cm",,23528,http://data.europeana.eu/proxy/provider/15508/23528,http://data.europeana.eu/item/15508/23528,,,http://data.europeana.eu/aggregation/provider/15508/23528,Albertina,http://www.europeana.eu/rights/rr-f/,Stehender Akt mit vorgebeugtem Gesicht (Studie für Die Jungfrau),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23528,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 55,8 x 36,8 cm",,23529,http://data.europeana.eu/proxy/provider/15508/23529,http://data.europeana.eu/item/15508/23529,,,http://data.europeana.eu/aggregation/provider/15508/23529,Albertina,http://www.europeana.eu/rights/rr-f/,Mädchen mit gebauschtem Kleid (Studie für Die Jungfrau),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23529,,,,Zeichnung,,,,
12346,Gustav Klimt,,,1911/12,"Bleistift
Graphite",,,,,,,,"Blatt: 56,4 x 36,9 cm",,23530,http://data.europeana.eu/proxy/provider/15508/23530,http://data.europeana.eu/item/15508/23530,,,http://data.europeana.eu/aggregation/provider/15508/23530,Albertina,http://www.europeana.eu/rights/rr-f/,Stehender Akt (Studie für Die Jungfrau),,,,http://www.kulturpool.at/plugins/kulturpool/showitem.action?kupoContext=default&itemExtId=23530,,,,Zeichnung,,,,
