"select ?z ?y
where
{?z dc:creator ""Gustav Klimt""@de .
?z dc:title ?y.
}
LIMIT 500",205 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav""@en .
?z dc:title ?y.
}
LIMIT 500",9 results,"select ?z ?y 
where
{?z dc:creator ""Klimt, Gustav"".
?z dc:title ?y.
}
LIMIT 500",8 results,"select ?z ?y 
where
{?z dc:creator ""Gustav Klimt"".
?z dc:title ?y.
}
LIMIT 500",23 results
z,y,,,http://data.europeana.eu/proxy/provider/2022608/MH_SS_46564,"""Bilde""",z,y
http://data.europeana.eu/proxy/provider/15508/22396,"""Stehende, in Tücher gehüllt (Studie für das Bildnis Ria Munk III)""@de",z,y,http://data.europeana.eu/proxy/provider/2048419/item_SUIM3BXR5H6DHQXFGT44HI5UPV4E5AZ3,"""Junger Buchenwald""",http://data.europeana.eu/proxy/provider/2063629/AUS_280_005,"""Der Kuss""@de"
http://data.europeana.eu/proxy/provider/15508/22492,"""Im Lehnstuhl Sitzende (Studie für das Bildnis Marie Henneberg)""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4487,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 1""@en",http://data.europeana.eu/proxy/provider/2048413/item_6C5WGRDMJPC3YMTHO7LKGQTQAALTQDST,"""Junger Buchenwald""",http://data.europeana.eu/proxy/provider/2063629/AUS_280_005,"""The Kiss""@en"
http://data.europeana.eu/proxy/provider/15508/22493,"""Stehende Dame in Straßentoilette nach links""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4488,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 2, Die Erwartung (Tänzerin)""@en",http://data.europeana.eu/proxy/provider/92063/BibliographicResource_3000095546917,"""18. Ausstellung der Wiener Secession""@de",http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148261879,"""Ritratto di Johanna Staude"""
http://data.europeana.eu/proxy/provider/15508/22494,"""Studie für die linke der Gorgonen im ""Beethovenfries""""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4489,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 3""@en",http://data.europeana.eu/proxy/provider/92063/BibliographicResource_3000095546920,"""99. Ausstellung der Wiener Secession""@de",http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148261883,"""Saffo"""
http://data.europeana.eu/proxy/provider/15508/22495,"""Studie für das Bildnis Eugenia Primavesi (sitzend von vorne, den Oberkörper zur Seite gedreht)""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4490,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 4, Lebensbaum""@en",http://data.europeana.eu/proxy/provider/92063/BibliographicResource_3000095546984,"""18. Ausstellung der Wiener Secession""@de",http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148264149,"""Giuditta"""
http://data.europeana.eu/proxy/provider/15508/22496,"""Mutter und Kind""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4491,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 5""@en",http://data.europeana.eu/proxy/provider/92063/BibliographicResource_3000095547323,"""Wien 1, Altes Burgtheater""@de",http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148264196,"""Bisce d'acqua"""
http://data.europeana.eu/proxy/provider/15508/23528,"""Stehender Akt mit vorgebeugtem Gesicht (Studie für Die Jungfrau)""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4492,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 6""@en",http://data.europeana.eu/proxy/provider/92063/BibliographicResource_3000095548305,"""Wien, 20 Ausstellung in der Secession""@de",http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148264211,"""Pallade Atena"""
http://data.europeana.eu/proxy/provider/15508/23529,"""Mädchen mit gebauschtem Kleid (Studie für Die Jungfrau)""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4493,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 7""@en",http://data.europeana.eu/proxy/provider/92060/BibliographicResource_1000126015337,"""Gustav Klimt, 'Altes Burgtheater'""@de",http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148264212,"""Ritratto di Friederike Maria Beer"""
http://data.europeana.eu/proxy/provider/15508/23530,"""Stehender Akt (Studie für Die Jungfrau)""@de",http://data.europeana.eu/proxy/provider/2026106/Partage_Plus_ProvidedCHO_MAK____sterreichisches_Museum_f_r_angewandte_Kunst___Gegenwartskunst_4494,"""Werkzeichnung für die Ausführung für ein Mosaikfries für den Speisesaal des Palais Stoclet in Brüssel: Teil 8, Erfüllung""@en",,,http://data.europeana.eu/proxy/provider/9200369/BibliographicResource_3000148266537,"""La Vergine"""
