item,itemLabel,apisperson,apispersonLabel,oeblid,instanceOf,instanceOfLabel
http://www.wikidata.org/entity/Q28030451,Sarup Singh,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030451,Sarup Singh,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030452,Sappi,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030452,Sappi,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030453,Sher Muhammad,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030453,Sher Muhammad,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030454,Shanker Girr,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030454,Shanker Girr,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030456,Khazan Singh,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030456,Khazan Singh,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030457,Mir Abdullah,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030457,Mir Abdullah,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030458,Babu Shivanand Puri,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030458,Babu Shivanand Puri,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030459,Daolati,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030459,Daolati,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
http://www.wikidata.org/entity/Q28030460,Sutarn Shikari,http://www.wikidata.org/entity/Q872914,Rudolf Swoboda,S_43/Swoboda_Rudolf_1859_1914,http://www.wikidata.org/entity/Q3305213,Gemälde
