prop,count,
http://schema.org/description,198293,
http://www.w3.org/2000/01/rdf-schema#label,32468,
http://www.wikidata.org/P186,21317,made from material
http://www.wikidata.org/P186,21315,
http://www.wikidata.org/P31,20154,
http://www.wikidata.org/P31,20154,
http://www.wikidata.org/P170,17146,
http://www.wikidata.org/P170,17120,
http://schema.org/version,16643,
http://schema.org/dateModified,16643,
http://wikiba.se/ontology#statements,16641,
http://wikiba.se/ontology#sitelinks,16641,
http://wikiba.se/ontology#identifiers,16641,
http://www.wikidata.org/P195,15875,
http://www.wikidata.org/P195,15695,
http://www.wikidata.org/P1476,12564,
http://www.wikidata.org/P1476,12536,
http://www.wikidata.org/P217,12267,
http://www.wikidata.org/P571,12215,
http://www.wikidata.org/P571,12159,
http://www.wikidata.org/P217,12092,
http://www.wikidata.org/P276,11562,
http://www.wikidata.org/P276,11554,
http://www.wikidata.org/P2048,11366,
http://www.wikidata.org/P2048,11341,
http://www.wikidata.org/P2049,11324,
http://www.wikidata.org/P2049,11304,
http://www.wikidata.org/P18,11194,
http://www.wikidata.org/P18,11171,
http://www.wikidata.org/P6216,8850,
http://www.wikidata.org/P6216,8825,
http://www.wikidata.org/P180,6895,
http://www.wikidata.org/P180,6874,
http://www.wikidata.org/P973,6317,
http://www.wikidata.org/P973,6314,
http://www.wikidata.org/P136,5681,
http://www.wikidata.org/P136,5680,
http://www.wikidata.org/P1433,3721,
http://www.wikidata.org/P1433,3717,
http://www.wikidata.org/P528,3376,
http://www.wikidata.org/P528,3190,
http://www.w3.org/2004/02/skos/core#altLabel,2453,
http://www.wikidata.org/P6108,2190,
http://www.wikidata.org/P6108,2190,
http://www.wikidata.org/P953,2131,
http://www.wikidata.org/P953,2118,
http://www.wikidata.org/P5823,1910,
http://www.wikidata.org/P5823,1910,
http://www.wikidata.org/P1684,1617,
http://www.wikidata.org/P1684,1617,
http://www.wikidata.org/P5269,1613,
http://www.wikidata.org/P5269,1613,
http://www.wikidata.org/P1257,1605,
http://www.wikidata.org/P1257,1605,
http://www.wikidata.org/P921,973,
http://www.wikidata.org/P921,973,
http://www.wikidata.org/P9061,922,
http://www.wikidata.org/P9061,922,
http://www.wikidata.org/P373,832,
http://www.wikidata.org/P373,832,
http://www.wikidata.org/P17,751,
http://www.wikidata.org/P17,751,
http://www.wikidata.org/P131,750,
http://www.wikidata.org/P131,749,
http://www.wikidata.org/P625,664,
http://www.wikidata.org/P625,660,
http://www.wikidata.org/P10760,643,
http://www.wikidata.org/P10760,643,
http://www.wikidata.org/P10759,478,
http://www.wikidata.org/P10759,478,
http://www.wikidata.org/P608,477,
http://www.wikidata.org/P608,476,
http://www.wikidata.org/P2671,419,
http://www.wikidata.org-normalized/P2671,419,
http://www.wikidata.org/P2671,419,
http://www.wikidata.org/P8948,383,
