instanceOf,instanceOfLabel
http://www.wikidata.org/entity/Q3305213,painting
http://www.wikidata.org/entity/Q11060274,print
http://www.wikidata.org/entity/Q12043905,pastel
http://www.wikidata.org/entity/Q93184,drawing
http://www.wikidata.org/entity/Q1173065,album
http://www.wikidata.org/entity/Q860861,sculpture
http://www.wikidata.org/entity/Q838948,work of art
http://www.wikidata.org/entity/Q7725310,series of creative works
http://www.wikidata.org/entity/Q18761202,watercolor painting
http://www.wikidata.org/entity/Q207694,art museum
http://www.wikidata.org/entity/Q570116,tourist attraction
http://www.wikidata.org/entity/Q179700,statue
http://www.wikidata.org/entity/Q2026188,panoramic painting
http://www.wikidata.org/entity/Q429785,poster
http://www.wikidata.org/entity/Q1147753,cyclorama
http://www.wikidata.org/entity/Q15123870,lithograph
http://www.wikidata.org/entity/Q104438958,lost painting
http://www.wikidata.org/entity/Q16905563,cycle of paintings
http://www.wikidata.org/entity/Q19828370,drawing series
http://www.wikidata.org/entity/Q1279564,short story collection
http://www.wikidata.org/entity/Q7725634,literary work
http://www.wikidata.org/entity/Q768717,private collection
http://www.wikidata.org/entity/Q41719,hypothesis
http://www.wikidata.org/entity/Q40446,nude
http://www.wikidata.org/entity/Q106482879,Q106482879
http://www.wikidata.org/entity/Q721747,commemorative plaque
http://www.wikidata.org/entity/Q4989906,monument
http://www.wikidata.org/entity/Q659396,equestrian statue
http://www.wikidata.org/entity/Q182676,mountain hut
http://www.wikidata.org/entity/Q483453,fountain
http://www.wikidata.org/entity/Q3658341,literary character
http://www.wikidata.org/entity/Q16970,church building
http://www.wikidata.org/entity/Q26997323,wooden sculpture
http://www.wikidata.org/entity/Q358,heritage site
http://www.wikidata.org/entity/Q173387,grave
http://www.wikidata.org/entity/Q5003624,memorial
http://www.wikidata.org/entity/Q245117,relief sculpture
http://www.wikidata.org/entity/Q3331189,"version, edition, or translation"
http://www.wikidata.org/entity/Q17489160,bust
http://www.wikidata.org/entity/Q15893266,former entity
http://www.wikidata.org/entity/Q16764362,park bench
http://www.wikidata.org/entity/Q38395546,column with statue
http://www.wikidata.org/entity/Q11835431,engraving
http://www.wikidata.org/entity/Q575759,war memorial
http://www.wikidata.org/entity/Q780649,atom model
http://www.wikidata.org/entity/Q15026,chair
http://www.wikidata.org/entity/Q15727816,painting series
http://www.wikidata.org/entity/Q2293362,group of statues
http://www.wikidata.org/entity/Q87167,manuscript
http://www.wikidata.org/entity/Q95074,fictional character
http://www.wikidata.org/entity/Q2065736,cultural property
http://www.wikidata.org/entity/Q1847455,wing chair
http://www.wikidata.org/entity/Q15053464,fictional material
http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q29842052,fictional white-tailed deer
http://www.wikidata.org/entity/Q15711870,animated character
http://www.wikidata.org/entity/Q27921916,anthropomorphic character
http://www.wikidata.org/entity/Q43483,well
http://www.wikidata.org/entity/Q29842037,fictional roe deer
http://www.wikidata.org/entity/Q203443,tombstone
http://www.wikidata.org/entity/Q41289922,Q41289922
http://www.wikidata.org/entity/Q185600,portico
http://www.wikidata.org/entity/Q189085,pastel
http://www.wikidata.org/entity/Q108325,chapel
http://www.wikidata.org/entity/Q125191,photograph
http://www.wikidata.org/entity/Q5398426,television series
http://www.wikidata.org/entity/Q2309609,wayside cross
http://www.wikidata.org/entity/Q12029081,fountain
,
http://www.wikidata.org/entity/Q482,poetry
http://www.wikidata.org/entity/Q188456,bookplate
http://www.wikidata.org/entity/Q133036,lithography
http://www.wikidata.org/entity/Q811979,architectural structure
http://www.wikidata.org/entity/Q1979154,model
http://www.wikidata.org/entity/Q820243,Bismarck monument
http://www.wikidata.org/entity/Q4140840,lost artwork
http://www.wikidata.org/entity/Q15709879,artwork series
http://www.wikidata.org/entity/Q210272,cultural heritage
http://www.wikidata.org/entity/Q25631150,fresco
http://www.wikidata.org/entity/Q192110,self-portrait
http://www.wikidata.org/entity/Q134307,portrait
http://www.wikidata.org/entity/Q23657281,drypoint print
http://www.wikidata.org/entity/Q321053,cenotaph
http://www.wikidata.org/entity/Q219423,mural
http://www.wikidata.org/entity/Q82604,design
http://www.wikidata.org/entity/Q468402,tile
http://www.wikidata.org/entity/Q9026959,autograph
http://www.wikidata.org/entity/Q1232589,replica
http://www.wikidata.org/entity/Q1278452,polyptych
http://www.wikidata.org/entity/Q36649,visual arts
http://www.wikidata.org/entity/Q81944,cutlery
http://www.wikidata.org/entity/Q12014132,pedestal
http://www.wikidata.org/entity/Q19832486,locomotive class
http://www.wikidata.org/entity/Q2741056,cabinet
http://www.wikidata.org/entity/Q3375722,theatrical character
http://www.wikidata.org/entity/Q170980,obelisk
http://www.wikidata.org/entity/Q3395121,wayside shrine
http://www.wikidata.org/entity/Q1078913,plastic arts
http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q26877158,champagne flute
http://www.wikidata.org/entity/Q624903,cover art
http://www.wikidata.org/entity/Q18396864,aquatint print
http://www.wikidata.org/entity/Q3370053,small monument
http://www.wikidata.org/entity/Q376,clock
http://www.wikidata.org/entity/Q85621166,pencil drawing
http://www.wikidata.org/entity/Q55439,panel painting
http://www.wikidata.org/entity/Q1757923,carte de visite
http://www.wikidata.org/entity/Q17126091,textile sample
http://www.wikidata.org/entity/Q79218,triptych
http://www.wikidata.org/entity/Q11486300,former bridge
http://www.wikidata.org/entity/Q29639251,printed fabric
http://www.wikidata.org/entity/Q10513727,chain bridge
http://www.wikidata.org/entity/Q223557,physical object
http://www.wikidata.org/entity/Q1125338,book cover
http://www.wikidata.org/entity/Q1630622,drinking fountain
http://www.wikidata.org/entity/Q179115,widow
http://www.wikidata.org/entity/Q18646998,widower
http://www.wikidata.org/entity/Q854429,portal
http://www.wikidata.org/entity/Q192425,postcard
http://www.wikidata.org/entity/Q131647,medal
http://www.wikidata.org/entity/Q471835,sgraffito
http://www.wikidata.org/entity/Q5061188,house of culture
http://www.wikidata.org/entity/Q24354,theater
http://www.wikidata.org/entity/Q386724,work
http://www.wikidata.org/entity/Q381885,tomb
http://www.wikidata.org/entity/Q100575647,photomechanical print
http://www.wikidata.org/entity/Q581714,animated series
http://www.wikidata.org/entity/Q5078274,sketch
http://www.wikidata.org/entity/Q2647254,study
http://www.wikidata.org/entity/Q167346,botanical garden
http://www.wikidata.org/entity/Q56055944,arts form
http://www.wikidata.org/entity/Q1002697,periodical
http://www.wikidata.org/entity/Q4263830,literary form
http://www.wikidata.org/entity/Q60520,sketchbook
http://www.wikidata.org/entity/Q1930585,victory column
http://www.wikidata.org/entity/Q81727,cup
http://www.wikidata.org/entity/Q19793988,Cyrillic letter
http://www.wikidata.org/entity/Q2910675,unfinished creative work
http://www.wikidata.org/entity/Q27104461,fictional insect
http://www.wikidata.org/entity/Q3841820,consonant letter
http://www.wikidata.org/entity/Q104595152,computational approach
http://www.wikidata.org/entity/Q3918409,proposal
http://www.wikidata.org/entity/Q18451251,goblet
http://www.wikidata.org/entity/Q2142903,jewelry
http://www.wikidata.org/entity/Q22669857,collage
http://www.wikidata.org/entity/Q1572315,collotype technique
http://www.wikidata.org/entity/Q89443946,cabinet portrait
http://www.wikidata.org/entity/Q11034,printing
http://www.wikidata.org/entity/Q1886349,logo
http://www.wikidata.org/entity/Q987767,container
http://www.wikidata.org/entity/Q3947,house
http://www.wikidata.org/entity/Q860708,Épinal print
http://www.wikidata.org/entity/Q1533558,Münchener Bilderbogen
http://www.wikidata.org/entity/Q16887380,group
http://www.wikidata.org/entity/Q27667572,creamer
http://www.wikidata.org/entity/Q28886448,work with multiple executions
http://www.wikidata.org/entity/Q18219090,woodcut print
http://www.wikidata.org/entity/Q17152495,prime version
http://www.wikidata.org/entity/Q5305319,dragon boundary mark
http://www.wikidata.org/entity/Q15072800,cemetery cross
http://www.wikidata.org/entity/Q133067,mosaic
http://www.wikidata.org/entity/Q355813,military order
http://www.wikidata.org/entity/Q483242,laboratory
http://www.wikidata.org/entity/Q582577,economic policy
http://www.wikidata.org/entity/Q14208553,invention
http://www.wikidata.org/entity/Q21745157,destroyed artwork
http://www.wikidata.org/entity/Q18573970,group of paintings
http://www.wikidata.org/entity/Q3374401,paintings by Adolf Hitler
http://www.wikidata.org/entity/Q5051330,catalogue of classical compositions
http://www.wikidata.org/entity/Q4502142,visual artwork
http://www.wikidata.org/entity/Q47461344,written work
http://www.wikidata.org/entity/Q735,art
http://www.wikidata.org/entity/Q867570,Cyrillic alphabet
http://www.wikidata.org/entity/Q2281940,chemical process
http://www.wikidata.org/entity/Q188725,ligature
http://www.wikidata.org/entity/Q28890616,group of casts
http://www.wikidata.org/entity/Q231685,Stations of the Cross
http://www.wikidata.org/entity/Q80677986,cave chapel
http://www.wikidata.org/entity/Q30754717,grotto
http://www.wikidata.org/entity/Q47008262,ensemble of small monuments
http://www.wikidata.org/entity/Q1426327,linen
http://www.wikidata.org/entity/Q371752,calvary
http://www.wikidata.org/entity/Q20460,crucifix
http://www.wikidata.org/entity/Q3406090,state-sponsored terrorism
http://www.wikidata.org/entity/Q22222786,government program
http://www.wikidata.org/entity/Q750197,grisaille
http://www.wikidata.org/entity/Q1365218,music box
http://www.wikidata.org/entity/Q746549,dish
http://www.wikidata.org/entity/Q106358057,carving cutlery
http://www.wikidata.org/entity/Q87663609,mars globe
http://www.wikidata.org/entity/Q1259759,miniseries
http://www.wikidata.org/entity/Q1813494,teaching method
http://www.wikidata.org/entity/Q4162444,branch of physics
http://www.wikidata.org/entity/Q17737,theory
http://www.wikidata.org/entity/Q58483083,dramatico-musical work
http://www.wikidata.org/entity/Q107357104,type of dance
http://www.wikidata.org/entity/Q1473346,stained glass
http://www.wikidata.org/entity/Q571,book
http://www.wikidata.org/entity/Q21061279,stained glass window
http://www.wikidata.org/entity/Q41363,panorama
http://www.wikidata.org/entity/Q22669139,fresco
