subject,predicate,object,context
http://www.wikidata.org/entity/Q70933,http://www.wikidata.org/prop/direct/651,98211173,
http://www.wikidata.org/entity/Q71437,http://www.wikidata.org/prop/direct/651,89310294,
http://www.wikidata.org/entity/Q72553,http://www.wikidata.org/prop/direct/651,45337134,
http://www.wikidata.org/entity/Q76458,http://www.wikidata.org/prop/direct/651,41190192,
http://www.wikidata.org/entity/Q76491,http://www.wikidata.org/prop/direct/651,50190373,
http://www.wikidata.org/entity/Q76568,http://www.wikidata.org/prop/direct/651,77755216,
http://www.wikidata.org/entity/Q76707,http://www.wikidata.org/prop/direct/651,50973158,
http://www.wikidata.org/entity/Q77189,http://www.wikidata.org/prop/direct/651,32905130,
http://www.wikidata.org/entity/Q79017,http://www.wikidata.org/prop/direct/651,05872637,
http://www.wikidata.org/entity/Q79759,http://www.wikidata.org/prop/direct/651,43085001,
http://www.wikidata.org/entity/Q83660,http://www.wikidata.org/prop/direct/651,59171190,
http://www.wikidata.org/entity/Q84303,http://www.wikidata.org/prop/direct/651,17752268,
http://www.wikidata.org/entity/Q85549,http://www.wikidata.org/prop/direct/651,76661350,
http://www.wikidata.org/entity/Q91392,http://www.wikidata.org/prop/direct/651,99476315,
http://www.wikidata.org/entity/Q95286,http://www.wikidata.org/prop/direct/651,67385693,
http://www.wikidata.org/entity/Q97972,http://www.wikidata.org/prop/direct/651,07623101,
http://www.wikidata.org/entity/Q100910,http://www.wikidata.org/prop/direct/651,91054815,
http://www.wikidata.org/entity/Q102121,http://www.wikidata.org/prop/direct/651,66809831,
http://www.wikidata.org/entity/Q106580,http://www.wikidata.org/prop/direct/651,23608929,
http://www.wikidata.org/entity/Q107609,http://www.wikidata.org/prop/direct/651,85738259,
http://www.wikidata.org/entity/Q107947,http://www.wikidata.org/prop/direct/651,94399761,
http://www.wikidata.org/entity/Q109676,http://www.wikidata.org/prop/direct/651,08231549,
http://www.wikidata.org/entity/Q109860,http://www.wikidata.org/prop/direct/651,13468785,
http://www.wikidata.org/entity/Q110968,http://www.wikidata.org/prop/direct/651,40712225,
http://www.wikidata.org/entity/Q111873,http://www.wikidata.org/prop/direct/651,34784579,
http://www.wikidata.org/entity/Q116710,http://www.wikidata.org/prop/direct/651,88061219,
http://www.wikidata.org/entity/Q117783,http://www.wikidata.org/prop/direct/651,16100489,
http://www.wikidata.org/entity/Q117875,http://www.wikidata.org/prop/direct/651,45444648,
http://www.wikidata.org/entity/Q130039,http://www.wikidata.org/prop/direct/651,25190940,
http://www.wikidata.org/entity/Q130039,http://www.wikidata.org/prop/direct/651,44429211,
http://www.wikidata.org/entity/Q132305,http://www.wikidata.org/prop/direct/651,49688088,
http://www.wikidata.org/entity/Q133060,http://www.wikidata.org/prop/direct/651,61023551,
http://www.wikidata.org/entity/Q139518,http://www.wikidata.org/prop/direct/651,24364076,
http://www.wikidata.org/entity/Q140096,http://www.wikidata.org/prop/direct/651,62077006,
http://www.wikidata.org/entity/Q143595,http://www.wikidata.org/prop/direct/651,08223462,
http://www.wikidata.org/entity/Q143595,http://www.wikidata.org/prop/direct/651,31334223,
http://www.wikidata.org/entity/Q150679,http://www.wikidata.org/prop/direct/651,07290806,
http://www.wikidata.org/entity/Q150586,http://www.wikidata.org/prop/direct/651,92088617,
http://www.wikidata.org/entity/Q150679,http://www.wikidata.org/prop/direct/651,57201801,
http://www.wikidata.org/entity/Q153819,http://www.wikidata.org/prop/direct/651,11125524,
http://www.wikidata.org/entity/Q154211,http://www.wikidata.org/prop/direct/651,09260094,
http://www.wikidata.org/entity/Q155534,http://www.wikidata.org/prop/direct/651,48107438,
http://www.wikidata.org/entity/Q156657,http://www.wikidata.org/prop/direct/651,21779346,
http://www.wikidata.org/entity/Q157077,http://www.wikidata.org/prop/direct/651,27388199,
http://www.wikidata.org/entity/Q158256,http://www.wikidata.org/prop/direct/651,01440099,
http://www.wikidata.org/entity/Q158256,http://www.wikidata.org/prop/direct/651,03159609,
http://www.wikidata.org/entity/Q158256,http://www.wikidata.org/prop/direct/651,25935961,
http://www.wikidata.org/entity/Q163501,http://www.wikidata.org/prop/direct/651,22884841,
http://www.wikidata.org/entity/Q165898,http://www.wikidata.org/prop/direct/651,63550140,
http://www.wikidata.org/entity/Q166379,http://www.wikidata.org/prop/direct/651,71155511,
http://www.wikidata.org/entity/Q167654,http://www.wikidata.org/prop/direct/651,12491083,
http://www.wikidata.org/entity/Q170267,http://www.wikidata.org/prop/direct/651,33045609,
http://www.wikidata.org/entity/Q170267,http://www.wikidata.org/prop/direct/651,70505433,
http://www.wikidata.org/entity/Q172844,http://www.wikidata.org/prop/direct/651,43791455,
http://www.wikidata.org/entity/Q176694,http://www.wikidata.org/prop/direct/651,01262668,
http://www.wikidata.org/entity/Q176694,http://www.wikidata.org/prop/direct/651,40467919,
http://www.wikidata.org/entity/Q176811,http://www.wikidata.org/prop/direct/651,51385667,
http://www.wikidata.org/entity/Q179946,http://www.wikidata.org/prop/direct/651,64539279,
http://www.wikidata.org/entity/Q181181,http://www.wikidata.org/prop/direct/651,90154461,
http://www.wikidata.org/entity/Q182509,http://www.wikidata.org/prop/direct/651,00376149,
http://www.wikidata.org/entity/Q185414,http://www.wikidata.org/prop/direct/651,75174006,
http://www.wikidata.org/entity/Q186652,http://www.wikidata.org/prop/direct/651,81021371,
http://www.wikidata.org/entity/Q188293,http://www.wikidata.org/prop/direct/651,65363182,
http://www.wikidata.org/entity/Q192348,http://www.wikidata.org/prop/direct/651,12071897,
http://www.wikidata.org/entity/Q193992,http://www.wikidata.org/prop/direct/651,78229225,
http://www.wikidata.org/entity/Q196301,http://www.wikidata.org/prop/direct/651,02527598,
http://www.wikidata.org/entity/Q199894,http://www.wikidata.org/prop/direct/651,08303944,
http://www.wikidata.org/entity/Q206512,http://www.wikidata.org/prop/direct/651,07588799,
http://www.wikidata.org/entity/Q213786,http://www.wikidata.org/prop/direct/651,16753082,
http://www.wikidata.org/entity/Q214304,http://www.wikidata.org/prop/direct/651,01543773,
http://www.wikidata.org/entity/Q216261,http://www.wikidata.org/prop/direct/651,08875011,
http://www.wikidata.org/entity/Q14519887,http://www.wikidata.org/prop/direct/651,01000108,
http://www.wikidata.org/entity/Q18224979,http://www.wikidata.org/prop/direct/651,22911855,
http://www.wikidata.org/entity/Q19754719,http://www.wikidata.org/prop/direct/651,10856614,
http://www.wikidata.org/entity/Q19756284,http://www.wikidata.org/prop/direct/651,34658886,
http://www.wikidata.org/entity/Q27646103,http://www.wikidata.org/prop/direct/651,10642634,
http://www.wikidata.org/entity/Q747,http://www.wikidata.org/prop/direct/651,04370371,
http://www.wikidata.org/entity/Q747,http://www.wikidata.org/prop/direct/651,06271532,
http://www.wikidata.org/entity/Q5580,http://www.wikidata.org/prop/direct/651,25835391,
http://www.wikidata.org/entity/Q7336,http://www.wikidata.org/prop/direct/651,34414287,
http://www.wikidata.org/entity/Q9554,http://www.wikidata.org/prop/direct/651,10149274,
